"COUNTRY","MONTH","SUM","RANK"
"Australia","01",34,8
"Bangladesh","07",2420322,10
"Brazil","05",4228521,4
"Brazil","06",12027095,2
"Brazil","07",14221536,2
"Canada","04",888899,9
"Canada","05",2195249,7
"Canada","06",2770222,8
"Canada","07",2751092,7
"China","01",36315,1
"China","02",1228416,1
"China","03",456963,5
"France","01",30,9
"France","02",345,10
"France","03",336076,6
"France","04",2294556,5
"France","05",2838230,5
"France","06",2772630,7
"France","07",2738420,8
"Germany","01",18,10
"Germany","02",387,9
"Germany","03",516236,4
"Germany","04",1636325,7
"India","05",1777386,9
"India","06",4703849,5
"India","07",9150047,3
"Iran","02",1152,5
"Iran","03",319347,7
"Italy","02",3719,3
"Italy","03",947585,2
"Italy","04",3017835,2
"Italy","05",2235008,6
"Japan","01",50,5
"Japan","02",2036,4
"Malaysia","01",38,6
"Netherlands","04",750785,10
"Pakistan","06",2622600,9
"Peru","05",1717435,10
"Peru","06",3113583,6
"Peru","07",2649156,9
"Russia","04",1023297,8
"Russia","05",5893168,3
"Russia","06",7029468,3
"Russia","07",5711019,5
"Singapore","01",53,3
"Singapore","02",1089,6
"South Africa","07",3719752,6
"South Korea","01",36,7
"South Korea","02",11762,2
"South Korea","03",188325,9
"Spain","03",585063,3
"Spain","04",2621463,4
"Spain","05",1915710,8
"Spain","06",1991507,10
"Switzerland","03",143468,10
"Taiwan*","01",52,4
"Taiwan*","02",539,7
"Thailand","01",70,2
"Thailand","02",539,7
"Turkey","04",1671945,6
"US","01",38,6
"US","03",1045178,1
"US","04",16769592,1
"US","05",33958851,1
"US","06",43981001,1
"US","07",61226172,1
"United Kingdom","02",490,8
"United Kingdom","03",268786,8
"United Kingdom","04",2856656,3
"United Kingdom","05",5928869,2
"United Kingdom","06",6916356,4
"United Kingdom","07",6653436,4
"Vietnam","01",18,10
